"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"Alvin Kamara","NO","CAR","RB","$7900","25.4","6.7","46%","15642244"
"Jamaal Williams","GB","HOU","RB","$4000","17.5","6.5","36%","15642378"
"Kareem Hunt","CLE","CIN","RB","$6800","21.8","5.3","19%","15642252"
"Davante Adams","GB","HOU","WR","$7900","23.2","4.6","28%","15642452"
"Mike Davis","CAR","NO","RB","$6600","20.4","4.4","11%","15642256"
"Kyler Murray","ARI","SEA","QB","$7100","25.7","3.8","15%","15642184"
"Giovani Bernard","CIN","CLE","RB","$4500","15.7","3.8","28%","15642308"
"Terry McLaurin","WAS","DAL","WR","$5800","18.2","3.7","19%","15642486"
"Keenan Allen","LAC","JAX","WR","$6200","18.7","3.5","15%","15642478"
"Deshaun Watson","HOU","GB","QB","$6800","24.2","3.1","11%","15642186"
"DK Metcalf","SEA","ARI","WR","$7200","20.1","2.9","15%","15642458"
"Tre'Quan Smith","NO","CAR","WR","$4000","13.7","2.8","28%","15642556"
"Tyler Lockett","SEA","ARI","WR","$6600","18.9","2.8","23%","15642470"
"Stefon Diggs","BUF","NYJ","WR","$7000","19.5","2.7","11%","15642462"
"Kenny Golladay","DET","ATL","WR","$6700","18.7","2.5","15%","15642468"
"Clyde Edwards-Helaire","KC","DEN","RB","$6100","17.5","2.4","7%","15642268"
"Chris Carson","SEA","ARI","RB","$6400","18.1","2.4","11%","15642260"
"Robby Anderson","CAR","NO","WR","$6000","17.1","2.3","11%","15642482"
"Ezekiel Elliott","DAL","WAS","RB","$7800","20.8","2.3","7%","15642246"
"Calvin Ridley","ATL","DET","WR","$7300","19.7","2.2","11%","15642456"
"Gabriel Davis","BUF","NYJ","WR","$3600","12.3","2.2","7%","15642568"
"DJ Moore","CAR","NO","WR","$5600","16.1","2.0","7%","15642490"
"Justin Jackson","LAC","JAX","RB","$4900","14.7","2.0","7%","15642296"
"Matt Ryan","ATL","DET","QB","$6700","22.6","1.9","7%","15642187"
"Joe Burrow","CIN","CLE","QB","$5500","19.0","1.9","3%","15642198"
"Tyler Boyd","CIN","CLE","WR","$5400","15.5","1.8","7%","15642496"
"Josh Jacobs","LV","TB","RB","$6300","17.3","1.8","3%","15667783"
"Will Fuller V","HOU","GB","WR","$6800","18.1","1.6","7%","15642466"
"Travis Kelce","KC","DEN","TE","$6300","17.1","1.6","23%","15642754"
"Darren Waller","LV","TB","TE","$6100","16.7","1.6","3%","15667833"
"Julio Jones","ATL","DET","WR","$7100","18.5","1.5","11%","15642460"
"Matthew Stafford","DET","ATL","QB","$6500","21.6","1.5","3%","15642189"
"Aaron Rodgers","GB","HOU","QB","$7000","23.1","1.5","7%","15642185"
